,Professional,Country,DeveloperType,HaveWorkedLanguage,WantWorkLanguage
1,Student,United Kingdom,General,JavaScript; Python; Ruby; SQL,Java; Python; Ruby; SQL
5,Student,New Zealand,General,JavaScript; PHP; Rust,Clojure; Elixir; Erlang; Haskell; Rust; TypeScript
56,Student,United States,General,C#,C#; F#
114,Student,Bulgaria,General,C#,Assembly; C; C++; C#; Java
117,Student,United Kingdom,General,VB.NET,C#; Ruby
124,Student,Denmark,General,Java; JavaScript; Lua; PHP; R; SQL,Groovy; Java; JavaScript; Lua; SQL; TypeScript
178,Student,India,General,C; Java; JavaScript; PHP; Python,Assembly; C; C++; C#; CoffeeScript; Elixir; Go; JavaScript; PHP; Python; R; Ruby; Scala; SQL; TypeScript
196,Student,Romania,General,C++; Java; JavaScript,C++; JavaScript; Ruby; Rust; TypeScript
210,Student,United States,General,C#; Java; JavaScript; Perl; Python; SQL,C++; C#; F#; Haskell; JavaScript; PHP; Python; SQL
271,Student,Malaysia,General,C++; C#; Java; JavaScript; Lua; PHP; Python; SQL; VB.NET,C++; C#; Java; Lua; Python; VB.NET
278,Student,Dominican Republic,General,C#; SQL,C#; Python; SQL
292,Student,United States,General,C#; CoffeeScript; JavaScript; PHP; SQL; TypeScript,Assembly
294,Student,Serbia,General,Assembly; C; C++; C#; Java; Matlab; Python,C++; C#; Java; Python
296,Student,Canada,General,C#; Java; JavaScript; VB.NET,C#; Java; JavaScript
307,Student,Germany,General,Assembly; C++; Matlab; Python,C++; Matlab; Python
318,Student,United States,General,C#; Java; JavaScript; Objective-C; SQL,Go; Rust
341,Student,United States,General,Java; Python; R; SQL,C; C++; Java; PHP; Python; R; SQL
343,Student,Israel,General,Java,Java; Scala
344,Student,Germany,General,CoffeeScript; Java; JavaScript; Swift,CoffeeScript; Go; Haskell; Java; JavaScript
417,Student,India,General,Assembly; C; C++; JavaScript; Matlab; Python,C; C++; Go; Haskell; Java; JavaScript; Matlab; Python
432,Student,United Kingdom,General,Assembly; C; Java; Matlab; Python,Assembly; C
434,Student,France,General,Assembly; C; C++; Java; Objective-C; PHP; Python; SQL,C; C++; Java; Python
435,Student,India,General,C++; JavaScript; Python,C++; Go; Haskell; JavaScript; Matlab; Python; TypeScript
440,Student,United Kingdom,General,C++; Haskell; Python,C++; Haskell
453,Student,United States,General,Assembly; C#; Java; Python; Ruby,C; C#; Python; Rust
477,Student,Russian Federation,General,C#; Matlab; Python,Assembly; C; C++; Java; JavaScript; PHP
496,Student,Sweden,General,Java; JavaScript; PHP; Python; TypeScript,Hack; Java; TypeScript
500,Student,United States,General,C; C++; C#; Java; JavaScript; Matlab; Objective-C; PHP; Python; SQL; Swift,R
511,Student,Slovak Republic,General,C; Swift,Swift
524,Student,Austria,General,C#; Java,Go; Haskell; Java
593,Student,Albania,General,Java; JavaScript; Matlab; SQL,C#; Java
610,Student,United States,General,JavaScript,Assembly; C; Common Lisp; Clojure; Haskell; Python; Rust
635,Student,Belgium,General,C++; Java; JavaScript; Matlab; PHP; Python; SQL,Haskell; PHP; Python
649,Student,Germany,General,C++; Perl; Python,C++; Haskell; Perl; Python; Rust
702,Student,South Korea,General,C,C; JavaScript; Python
708,Student,Canada,General,C#,Java; JavaScript; Python; SQL
718,Student,Tunisia,General,C++; Java; JavaScript; PHP; SQL,Java; JavaScript; PHP; SQL; TypeScript
721,Student,Rwanda,General,JavaScript; Python; Ruby; VB.NET,C; C++; Elixir; Go; JavaScript; Python; Ruby; Swift
740,Student,Chile,General,Java,C#; Java; JavaScript; PHP; Python; Ruby; SQL
749,Student,Netherlands,General,CoffeeScript; Java; JavaScript; PHP; Swift,CoffeeScript; Elixir; PHP; Python; Swift
767,Student,Kazakhstan,General,Java,Assembly; C; C++; C#; Python
779,Student,Chile,General,C; Java; Ruby; SQL,C++; Java; JavaScript; Ruby
782,Student,Serbia,General,C; C++; C#; JavaScript; PHP; SQL,PHP; SQL
798,Student,Ireland,General,C++; Java; Ruby,C#; Java; Python; Ruby; VB.NET
821,Student,Somalia,General,C; C++; PHP; Python; SQL,Common Lisp; Haskell
865,Student,Romania,General,C; C++; C#; Java; JavaScript; Perl; PHP; Python; Swift,C++; Go; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; Swift
868,Student,United Arab Emirates,Desktop applications developer; Systems administrator,C; Python,Assembly; C; Go; Python
901,Student,Czech Republic,General,CoffeeScript; Java; JavaScript; PHP; SQL,CoffeeScript; Java; PHP; Python; SQL
921,Student,United Kingdom,General,C; C++; Java; JavaScript; PHP; Python,C; C++; Go; Swift
940,Student,Sweden,General,C; C++; C#,Assembly; C++
942,Student,Poland,General,Assembly; C; Common Lisp,Haskell; Python
987,Student,United States,General,Assembly; C; C++; C#; Java; Python,Go; PHP
1000,Student,France,General,C; C#; Python; Ruby,C++; Java; Perl; PHP
1013,Student,Switzerland,General,Haskell; PHP,Assembly; C; C++; C#; Haskell; Java; JavaScript
1015,Student,Hungary,General,C#; Java; JavaScript; PHP; Python; SQL; TypeScript,Dart; Elixir; Go; Java; Python
1019,Student,Canada,General,Haskell; Java; JavaScript; Matlab; Perl; PHP; Python; SQL,Clojure; Erlang; Julia; R; Ruby; Swift
1035,Student,Netherlands,General,JavaScript; PHP; SQL,Python
1078,Student,United States,General,Python,Java; Python
1080,Student,Germany,General,C++,Haskell
1103,Student,Hungary,General,Java; PHP,Go
1120,Student,Finland,General,Java; JavaScript; Python; Scala,JavaScript; Python; Scala
1123,Student,France,General,C; Java; TypeScript,C++; Java
1126,Student,Sweden,General,Lua,Assembly; C; Lua
1247,Student,Bosnia-Herzegovina,General,C++; C#; JavaScript; PHP; SQL; VB.NET,Assembly; C#; Java; Ruby
1267,Student,United Kingdom,General,JavaScript,Matlab; SQL; Swift
1292,Student,Iran,General,Java,C++; C#; Python
1299,Student,United States,General,C; C++; C#; Java; JavaScript; PHP; SQL; Swift,C++; C#; F#; JavaScript; PHP; Scala; Swift; TypeScript
1335,Student,Canada,General,C++; Groovy; Java,C++; Groovy; Java; JavaScript
1345,Student,Germany,General,C#; Java; Python; Swift,C#; Haskell; Java; JavaScript; Python; Swift
1376,Student,Morocco,General,C; C++; C#; Java; Matlab; PHP; Python; SQL,C#; Java; PHP; Python; SQL
1378,Student,India,General,JavaScript; PHP; Python; Smalltalk,Haskell; JavaScript
1396,Student,Spain,General,C; C++; C#,Assembly
1420,Student,Nigeria,General,PHP; SQL,C++; JavaScript; PHP
1449,Student,Netherlands,General,C++; C#; JavaScript,C#; F#; TypeScript
1455,Student,Canada,General,Java; JavaScript; Python; SQL,Java; JavaScript; Python; R; Scala; SQL; TypeScript
1500,Student,United States,General,Ruby; SQL,Java; JavaScript; Python
1514,Student,Lithuania,General,JavaScript; PHP,C++; C#
1536,Student,Austria,General,C; C++; C#; Java; PHP; SQL,Go; Swift
1553,Student,Italy,General,C#; CoffeeScript; Java; JavaScript; PHP; Ruby; SQL; Swift,Go; Haskell; Java; JavaScript; PHP; SQL; Swift; TypeScript
1558,Student,United States,General,JavaScript; Python,Assembly; C; C++; C#; Haskell; JavaScript; Python; Rust; Scala
1585,Student,Austria,General,C; Java; JavaScript,C#; Go
1593,Student,Italy,General,Assembly; C++; Go; Java; JavaScript; Matlab,Go; Haskell; JavaScript; Scala
1597,Student,Brazil,General,C#; Haskell; Python; Scala,C#
1621,Student,United States,General,C++; JavaScript; Objective-C,C; Java; Objective-C; Swift
1626,Student,Denmark,General,C; C++; C#; Java; JavaScript; Perl; Python,C; C++; C#; Java; Python; Rust
1637,Student,Denmark,General,Haskell; Java; JavaScript; Python; TypeScript,Clojure; Haskell; Java; JavaScript; Python; TypeScript
1642,Student,Morocco,General,C#; Haskell; Java; JavaScript; PHP; Python; SQL,Go; Java; Python; R; Smalltalk
1645,Student,Slovenia,General,C++; C#,C++; C#; Objective-C; Swift
1663,Student,Bermuda,General,PHP; SQL; Swift,C++; C#; JavaScript
1672,Student,Germany,General,Assembly; C; Go; Java; Lua; Rust,C; C++; Java; Rust
1676,Student,Greece,General,C#; Java; JavaScript; Python,Assembly; Dart; JavaScript; Python; Ruby
1698,Student,Netherlands,General,JavaScript; Python,C++; C#; Haskell
1708,Student,France,General,C; C++; Java; JavaScript; Lua; Python; R; SQL; VBA,Java; JavaScript; Python
1727,Student,Germany,General,C; Haskell; Java,F#; Scala
1728,Student,I prefer not to say,General,Assembly; C; C++,C; C++; Python; Rust
1729,Student,New Zealand,General,C++; Java; JavaScript,Assembly; C; C#; Erlang; Haskell; Lua; SQL
1800,Student,Italy,General,C; C++; Groovy; Java; JavaScript; PHP; Ruby,Scala
1809,Student,Canada,General,C++; C#; Java; JavaScript; Perl; PHP; Scala; SQL; VBA,C#; Java; SQL
1830,Student,Canada,General,C; Java; SQL,Go; Java
1882,Student,United States,General,Assembly; C; Go; Java; JavaScript; Python,Assembly; C; F#; Go; Haskell; Python
1884,Student,Ukraine,General,C; C++,C; C++; Lua
1906,Student,United States,General,JavaScript; Perl; PHP,Assembly; C; C++; C#; Objective-C
1927,Student,Poland,General,C++; C#; PHP; Python,C++; C#; JavaScript; Python; SQL
1933,Student,Armenia,General,C; Python; Ruby,C++; C#; Java; JavaScript; PHP; SQL
1975,Student,Germany,General,C; C++; C#; Java; JavaScript; SQL,Assembly
2009,Student,Germany,General,C#; Java; JavaScript,C++; C#; JavaScript; Python
2036,Student,United States,General,C++; JavaScript; Python; SQL,Assembly; C; C++; Haskell; JavaScript; Python; SQL
2079,Student,Sweden,General,C; C++; C#; Java; Python,Assembly; C; C++; C#; Java; SQL
2113,Student,Germany,General,Assembly; C; Java; PHP; SQL,Java; PHP; SQL
2166,Student,United States,General,Assembly; C; C++; C#; Java; JavaScript; Matlab; Python; R; Ruby; Swift,C; C++; C#; Go; Java; JavaScript; Matlab; Python; R; Ruby; Swift
2179,Student,United Kingdom,General,C++; Haskell; Java; JavaScript,C; C#; Lua; Python
2188,Student,Spain,General,C#; SQL,C#
2201,Student,United States,General,Java; JavaScript,C
2212,Student,Netherlands,General,C#; Java; JavaScript; PHP; Python; SQL,C++; TypeScript
2229,Student,Poland,General,C++; C#; Java,C++; C#; Java; Python
2235,Student,United Kingdom,General,CoffeeScript; Groovy; Haskell; Java; JavaScript; Perl; Python; Ruby; SQL,Haskell; Java; JavaScript; Python
2242,Student,Canada,General,C++; Go; Java,Go; Java
2273,Student,Australia,General,Java; JavaScript; PHP; Python,C++; Java; JavaScript; Python
2294,Student,United Kingdom,General,Assembly; C; C++; C#; Java; Python,C; C#; F#; Haskell; Java; Rust
2298,Student,Finland,General,C++; C#; Java; JavaScript; Python; SQL,Assembly; C++; C#; Clojure; Haskell; Python; Rust; Swift
2299,Student,Czech Republic,General,C; C++; C#,C++; C#; Haskell
2313,Student,I prefer not to say,General,C; C++; Java; Objective-C; Python,Assembly; C; JavaScript; Objective-C; Perl; PHP; Python; Ruby; SQL
2315,Student,Iran,General,C; Java; PHP; Python; R; SQL,Java; PHP; Python; R; SQL
2321,Student,United States,General,Java; JavaScript; Python; Ruby; Swift,Assembly; C; C++; Haskell; Java; JavaScript; Matlab; PHP; Python; R; Ruby; Swift; TypeScript
2328,Student,United States,General,Haskell; Java; JavaScript; PHP; SQL,Haskell; Java; JavaScript
2335,Student,United States,General,Assembly; C++; Java; JavaScript; Python; Swift,Assembly; C; C++; C#; CoffeeScript; Clojure; Java; JavaScript; Objective-C; Perl; PHP; Python; Ruby; Rust; SQL; Swift; Visual Basic 6
2355,Student,United States,General,C++; Java; PHP,C++; Java
2362,Student,United States,General,C; C++; C#; Java; Matlab; PHP; Python; SQL,C; C++; C#; Rust
2387,Student,United States,General,Java; Python,C; C++
2392,Student,United States,General,C; Java; Lua; Rust,Lua; Rust
2424,Student,United States,General,Java; JavaScript; PHP; Python; Ruby; SQL; Swift,CoffeeScript; Java; JavaScript; Lua; PHP; Python; Swift
2439,Student,United States,General,Python,C#; Python
2455,Student,United States,General,C; C++; Java; JavaScript; Python,Assembly; C; C++; Dart; Python; Rust
2456,Student,United States,General,C++; Java; PHP; SQL,Assembly; C; C++; C#; Java; PHP; Python; Ruby; SQL
2468,Student,United States,General,Assembly; Java,C; Haskell; Java; Python; R
2515,Student,Australia,General,Assembly; C; C++; Matlab; Python,Assembly; C; C++
2516,Student,United States,General,Clojure; Haskell; JavaScript; Rust,Haskell; Rust
2556,Student,Portugal,General,C; C++; Java; Matlab; Python; SQL,C; C++; Go; Java; PHP; Python; SQL
2567,Student,Canada,General,C; C++; C#; Groovy; Java; JavaScript; Objective-C,C; C#; Groovy; Java; JavaScript
2582,Student,Slovak Republic,General,Assembly; C; C++; Java; Python; Swift,C#; JavaScript; Objective-C; SQL
2584,Student,Singapore,General,C++; Objective-C; PHP; SQL; Swift,Java; JavaScript; PHP; SQL; Swift
2593,Student,United States,General,JavaScript; PHP; Python; SQL,C#; JavaScript; PHP; Python
2595,Student,India,General,JavaScript; PHP,JavaScript; Ruby; Swift
2596,Student,Australia,General,C; Haskell; Java; JavaScript; Python; R; SQL,Haskell; Java; Python
2603,Student,Netherlands,General,Haskell,Haskell; Rust
2616,Student,United Kingdom,General,C#; JavaScript,C++; C#; Elixir; Erlang; Go; Haskell; Java; JavaScript; PHP; Python; R
2656,Student,Indonesia,General,C; C++; C#; PHP; SQL,JavaScript
2657,Student,United States,General,C#; JavaScript,C++; Python
2669,Student,Australia,General,JavaScript,C++; Go; JavaScript
2689,Student,South Africa,General,C++; JavaScript; PHP,C++
2695,Student,United States,General,Java; Python,C; Java; JavaScript; PHP; Python
2725,Student,United States,General,JavaScript; Python; Swift,CoffeeScript; Go; JavaScript; Python; Swift
2727,Student,Vietnam,General,JavaScript,Assembly; C
2729,Student,Greece,General,C#; Java,C++; C#; Go; Java; SQL; Swift
2738,Student,United States,General,Java; JavaScript; Python; Ruby; Rust; Scala,Clojure; Dart; Go; Java; JavaScript; Python; Rust; Scala
2744,Student,Malaysia,General,C#; JavaScript; SQL,C#; Go; JavaScript; Python; TypeScript
2755,Student,United States,General,C; C++; C#; Java; JavaScript; Lua; PHP; Python; Ruby,C#; Java; Swift
2770,Student,United States,General,C; Erlang; Go; Java; JavaScript; Python,C; Erlang; Go; JavaScript; Python; Ruby; Rust
2773,Student,United States,General,Java; JavaScript; Python,C; C++; Java; JavaScript; Lua; Matlab; Objective-C; PHP; Python; SQL
2777,Student,United States,General,Java; Python; TypeScript,Python; Swift; TypeScript
2789,Student,United States,General,Assembly; C; C++; C#; Java; JavaScript; Matlab; SQL,C++; C#; F#; Matlab; SQL
2796,Student,United States,General,C; C++; C#; JavaScript; Ruby,JavaScript; Python; SQL; Visual Basic 6
2800,Student,United States,General,Python,C; C++; Python; R
2801,Student,United States,General,C++; JavaScript; PHP; Python; Ruby; SQL; Swift; TypeScript,Go; Haskell; Scala
2803,Student,Singapore,General,C#; Java; SQL,C#; Java
2821,Student,United States,General,Python,Java; JavaScript; PHP; Python; Ruby
2864,Student,United States,General,JavaScript; Python; SQL,Assembly; C#; F#; JavaScript; Python; Rust; SQL; TypeScript
2885,Student,Portugal,General,C; C#; Java; JavaScript; Matlab; PHP; SQL; TypeScript,Go; Haskell; TypeScript
2893,Student,United States,General,C; C++; JavaScript; PHP,Assembly; C; C++
2935,Student,United States,General,Python,Common Lisp; Clojure; Python
2957,Student,Ireland,General,Java; Ruby,Java; JavaScript
2960,Student,Bangladesh,General,Assembly; C; JavaScript,Assembly; C; Java
3027,Student,Portugal,General,Assembly; C; C++; C#; Erlang; Java; JavaScript; SQL,Java; PHP; Ruby
3055,Student,India,General,C; C++; Java; JavaScript; PHP; Python; SQL,C#; Go; Hack; Ruby
3059,Student,United States,General,C++; Java; R; Ruby,Assembly; CoffeeScript; JavaScript; PHP; Python; SQL; TypeScript
3061,Student,India,General,Assembly; C; C++; Java; R; SQL,JavaScript; Matlab; Python; SQL
3084,Student,China,General,C; C++; Python,Go; Python
3110,Student,Indonesia,General,C#; SQL; VB.NET,C#; JavaScript; PHP; R; SQL; VB.NET
3131,Student,Canada,General,Python; Swift,Haskell; Python; Ruby; Swift
3135,Student,Russian Federation,General,Haskell; Python,C++; Java; Python
3186,Student,India,General,C; C++; C#; Java; JavaScript; Perl; PHP; SQL; VB.NET,Hack; Python; Ruby
3209,Student,Australia,General,C#; JavaScript; PHP; Python; SQL; VB.NET; VBA,C; C++; Java; Objective-C; Perl
3221,Student,India,General,C; C++; Python,Java; JavaScript
3239,Student,United Kingdom,General,Python; Rust,Assembly; C; C++; Elixir; Go; Haskell; JavaScript; Python; Ruby; Rust
3254,Student,New Zealand,General,C; C++; C#; Haskell; Java; JavaScript; Swift,Python
3257,Student,India,General,C; C++; C#; Java; JavaScript; PHP; Python,Python
3280,Student,Japan,General,JavaScript; Python,C; C++
